Login Time: 2023-06-12 오전 11:01:51
Kills: 0, Card Eat: 0, Hat Eat: 1, Time Eat: 3, TeaCup Eat: 0
Kills: 13, Card Eat: 29, Hat Eat: 8, Time Eat: 3, TeaCup Eat: 3
Kills: 13, Card Eat: 29, Hat Eat: 8, Time Eat: 3, TeaCup Eat: 3
